unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
26345,JE395709,2021-10-02 06:44:00 UTC,001XX E 107TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,false,false,512,5,9,49,01A,1178985,1834047,2021,2022-09-18 04:45:51 UTC,41.699915337,-87.620245268,"(41.699915337, -87.620245268)"
12776692,JF336108,2022-07-25 11:15:00 UTC,0000X E 103RD ST,0271,CRIMINAL SEXUAL ASSAULT,ATTEMPT AGGRAVATED - HANDGUN,STREET,false,false,512,5,9,49,02,1178546,1836694,2022,2023-01-03 03:46:28 UTC,41.707189034,-87.621772614,"(41.707189034, -87.621772614)"
6664059,HP737608,2008-12-16 08:33:00 UTC,003XX W 107TH ST,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,false,false,512,5,34,49,02,1175874,1833969,2008,2018-02-28 03:56:25 UTC,41.699771413,-87.631638744,"(41.699771413, -87.631638744)"
11363282,JB327228,2018-06-29 12:12:00 UTC,002XX E 104TH ST,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,false,false,512,5,9,49,02,1179598,1836060,2018,2018-08-01 03:51:33 UTC,41.705425334,-87.617939502,"(41.705425334, -87.617939502)"
11727860,JC312580,2019-06-19 04:00:00 UTC,009XX E 104TH ST,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,false,false,512,5,9,50,02,1184238,1836191,2019,2020-09-16 03:48:55 UTC,41.705677782,-87.600944364,"(41.705677782, -87.600944364)"
7496492,HS298922,2010-05-08 07:00:00 UTC,103XX S MICHIGAN AVE,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,STREET,false,false,512,5,9,49,03,1178964,1836624,2010,2018-02-10 03:50:01 UTC,41.706987456,-87.620244029,"(41.706987456, -87.620244029)"
5794908,HN604060,2007-09-22 05:15:10 UTC,104XX S MICHIGAN AVE,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,STREET,false,false,512,5,9,49,03,1178893,1835938,2007,2018-02-28 03:56:25 UTC,41.705106592,-87.620524823,"(41.705106592, -87.620524823)"
10830241,JA131577,2017-01-27 07:05:00 UTC,103XX S MICHIGAN AVE,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SMALL RETAIL STORE,false,false,512,5,9,49,03,1178964,1836624,2017,2017-02-14 03:49:42 UTC,41.706987456,-87.620244029,"(41.706987456, -87.620244029)"
1585374,G351276,2001-06-16 10:30:00 UTC,103XX S WABASH AV,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,512,5,,,03,1178352,1836672,2001,2015-08-17 03:03:40 UTC,41.70713306,-87.622483703,"(41.70713306, -87.622483703)"
9846985,HX495924,2014-11-04 03:00:00 UTC,104XX S STATE ST,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,512,5,34,49,03,1178093,1835839,2014,2018-02-10 03:50:01 UTC,41.704853056,-87.623457301,"(41.704853056, -87.623457301)"
9901014,HX544507,2014-12-15 06:30:00 UTC,106XX S STATE ST,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,512,5,9,49,03,1178135,1834431,2014,2018-02-10 03:50:01 UTC,41.700988357,-87.623346009,"(41.700988357, -87.623346009)"
8987050,HW134445,2013-01-25 06:00:00 UTC,104XX S COTTAGE GROVE AVE,031A,ROBBERY,ARMED: HANDGUN,CTA BUS STOP,true,false,512,5,9,50,03,1182592,1836062,2013,2018-02-10 03:50:01 UTC,41.705362046,-87.606975803,"(41.705362046, -87.606975803)"
6595745,HP662364,2008-11-02 06:30:00 UTC,106XX S COTTAGE GROVE AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,512,5,9,50,03,1182361,1834642,2008,2018-02-28 03:56:25 UTC,41.701470725,-87.607865497,"(41.701470725, -87.607865497)"
1902979,G759278,2001-12-20 05:51:14 UTC,002XX W 103 ST,031A,ROBBERY,ARMED: HANDGUN,CLEANING STORE,false,false,512,5,,,03,1176749,1836606,2001,2015-08-17 03:03:40 UTC,41.706988109,-87.628355835,"(41.706988109, -87.628355835)"
6850341,HR255686,2009-04-07 10:10:00 UTC,106XX S VERNON AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,512,5,9,49,03,1181129,1834531,2009,2018-02-28 03:56:25 UTC,41.701194517,-87.612380047,"(41.701194517, -87.612380047)"
2626331,HJ231778,2003-03-11 06:31:00 UTC,106XX S MICHIGAN AVE,031A,ROBBERY,ARMED: HANDGUN,PARKING LOT/GARAGE(NON.RESID.),false,false,512,5,9,49,03,1178812,1834401,2003,2018-02-10 03:50:01 UTC,41.700890691,-87.620867996,"(41.700890691, -87.620867996)"
9663061,HX310837,2014-06-19 10:20:00 UTC,006XX E 103RD ST,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,512,5,9,50,03,1182608,1836814,2014,2018-02-10 03:50:01 UTC,41.70742526,-87.606893983,"(41.70742526, -87.606893983)"
8672012,HV346937,2012-06-22 02:30:00 UTC,0000X W 104TH ST,031A,ROBBERY,ARMED: HANDGUN,VACANT LOT/LAND,false,false,512,5,34,49,03,1177721,1836007,2012,2016-02-04 06:33:39 UTC,41.705322478,-87.624814447,"(41.705322478, -87.624814447)"
12965290,JG131213,2023-01-27 08:30:00 UTC,105XX S FOREST AVE,031A,ROBBERY,ARMED - HANDGUN,STREET,false,false,512,5,9,49,03,1180110,1835209,2023,2023-02-03 03:51:26 UTC,41.703078388,-87.616090576,"(41.703078388, -87.616090576)"
2812913,HJ455805,2003-06-26 08:29:33 UTC,106XX S MICHIGAN AVE,031A,ROBBERY,ARMED: HANDGUN,ALLEY,false,false,512,5,9,49,03,1178810,1834363,2003,2018-02-28 03:56:25 UTC,41.700786459,-87.62087647,"(41.700786459, -87.62087647)"
6355507,HP442609,2008-07-09 05:45:00 UTC,105XX S MARYLAND AVE,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,false,false,512,5,9,50,03,1183770,1835347,2008,2018-02-28 03:56:25 UTC,41.703372649,-87.602684344,"(41.703372649, -87.602684344)"
1780499,G601123,2001-10-06 11:31:08 UTC,001XX W 105 ST,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,512,5,,,03,1176992,1835284,2001,2015-08-17 03:03:40 UTC,41.703354892,-87.627505655,"(41.703354892, -87.627505655)"
2322712,HH616279,2002-08-31 03:13:36 UTC,0000X E 103RD ST,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,false,false,512,5,9,49,03,1178274,1836687,2002,2018-02-28 03:56:25 UTC,41.707175989,-87.622768884,"(41.707175989, -87.622768884)"
2369698,HH670233,2002-09-24 07:20:00 UTC,007XX E 104TH ST,0320,ROBBERY,STRONGARM - NO WEAPON,RESIDENCE,false,false,512,5,9,50,03,1182989,1836157,2002,2018-02-28 03:56:25 UTC,41.705613541,-87.605519103,"(41.705613541, -87.605519103)"
4992760,HM602627,2006-09-15 11:31:00 UTC,008XX E 103RD ST,0320,ROBBERY,STRONGARM - NO WEAPON,"SCHOOL, PUBLIC, BUILDING",false,false,512,5,9,50,03,1183988,1836860,2006,2018-02-28 03:56:25 UTC,41.707519433,-87.601839023,"(41.707519433, -87.601839023)"
10556822,HZ296757,2016-06-07 05:00:00 UTC,103XX S WENTWORTH AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,512,5,34,49,03,1176774,1836565,2016,2018-02-10 03:50:01 UTC,41.706875037,-87.628265515,"(41.706875037, -87.628265515)"
5159950,HM742629,2006-11-22 02:57:00 UTC,105XX S COTTAGE GROVE AVE,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,false,false,512,5,9,50,03,1182480,1835392,2006,2018-02-10 03:50:01 UTC,41.703526071,-87.607406613,"(41.703526071, -87.607406613)"
9469634,HX122879,2014-01-21 06:30:00 UTC,104XX S RHODES AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,512,5,9,49,03,1181752,1836026,2014,2018-02-10 03:50:01 UTC,41.705282659,-87.610052876,"(41.705282659, -87.610052876)"
9476782,HX130203,2014-01-28 10:25:00 UTC,106XX S STATE ST,0320,ROBBERY,STRONGARM - NO WEAPON,SMALL RETAIL STORE,false,false,512,5,34,49,03,1178142,1834202,2014,2018-02-10 03:50:01 UTC,41.700359791,-87.62332729,"(41.700359791, -87.62332729)"
6346765,HP435484,2008-07-06 01:30:00 UTC,105XX S PRAIRIE AVE,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,false,false,512,5,9,49,03,1179777,1835200,2008,2018-02-28 03:56:25 UTC,41.703061295,-87.61731021,"(41.703061295, -87.61731021)"
