location_description,count
STREET,2031661
RESIDENCE,1308000
APARTMENT,882692
SIDEWALK,729666
OTHER,270021
PARKING LOT/GARAGE(NON.RESID.),202991
ALLEY,173214
SMALL RETAIL STORE,147688
"SCHOOL, PUBLIC, BUILDING",146387
RESIDENCE-GARAGE,135543
RESTAURANT,127620
VEHICLE NON-COMMERCIAL,124296
RESIDENCE PORCH/HALLWAY,124210
DEPARTMENT STORE,98857
GROCERY FOOD STORE,98849
GAS STATION,86661
RESIDENTIAL YARD (FRONT/BACK),75150
COMMERCIAL / BUSINESS OFFICE,60599
PARK PROPERTY,58746
CHA PARKING LOT/GROUNDS,56107
BAR OR TAVERN,42696
CTA PLATFORM,39520
CHA APARTMENT,38973
DRUG STORE,35801
BANK,31219
CTA TRAIN,30714
"SCHOOL, PUBLIC, GROUNDS",30253
HOTEL/MOTEL,29748
CTA BUS,25173
CHA HALLWAY/STAIRWELL/ELEVATOR,25023
VACANT LOT/LAND,24686
PARKING LOT / GARAGE (NON RESIDENTIAL),24283
CONVENIENCE STORE,23558
DRIVEWAY - RESIDENTIAL,22813
TAVERN/LIQUOR STORE,22466
HOSPITAL BUILDING/GROUNDS,22199
POLICE FACILITY/VEH PARKING LOT,18571
AIRPORT/AIRCRAFT,16271
CHURCH/SYNAGOGUE/PLACE OF WORSHIP,15493
GOVERNMENT BUILDING/PROPERTY,14756
NURSING HOME/RETIREMENT HOME,14658
"SCHOOL, PRIVATE, BUILDING",14186
CONSTRUCTION SITE,13934
OTHER (SPECIFY),13324
CURRENCY EXCHANGE,11902
ABANDONED BUILDING,11854
RESIDENCE - PORCH / HALLWAY,10687
CTA GARAGE / OTHER PROPERTY,10277
WAREHOUSE,10185
ATHLETIC CLUB,9471
RESIDENCE - YARD (FRONT / BACK),9160
RESIDENCE - GARAGE,8533
BARBERSHOP,8480
ATM (AUTOMATIC TELLER MACHINE),8442
CTA BUS STOP,7884
TAXICAB,7714
MEDICAL/DENTAL OFFICE,7431
FACTORY/MANUFACTURING BUILDING,6895
LIBRARY,6726
CTA STATION,6680
OTHER RAILROAD PROP / TRAIN DEPOT,5932
COLLEGE/UNIVERSITY GROUNDS,5788
VEHICLE-COMMERCIAL,5616
SPORTS ARENA/STADIUM,5290
CLEANING STORE,5135
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,4825
"SCHOOL, PRIVATE, GROUNDS",4292
SCHOOL - PUBLIC BUILDING,4162
HOSPITAL BUILDING / GROUNDS,3984
HOTEL / MOTEL,3841
DAY CARE CENTER,3433
OTHER COMMERCIAL TRANSPORTATION,3367
CAR WASH,3352
SCHOOL - PUBLIC GROUNDS,3121
MOVIE HOUSE/THEATER,2732
POLICE FACILITY / VEHICLE PARKING LOT,2557
NURSING / RETIREMENT HOME,2354
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,2348
APPLIANCE STORE,2295
VACANT LOT / LAND,2106
TAVERN / LIQUOR STORE,1513
CHA PARKING LOT / GROUNDS,1409
COLLEGE/UNIVERSITY RESIDENCE HALL,1400
GOVERNMENT BUILDING / PROPERTY,1386
AUTO,1360
