primary_type,count
THEFT,1645879
BATTERY,1425999
CRIMINAL DAMAGE,889197
NARCOTICS,747980
ASSAULT,508889
OTHER OFFENSE,484590
BURGLARY,424864
MOTOR VEHICLE THEFT,377267
DECEPTIVE PRACTICE,346171
ROBBERY,292954
CRIMINAL TRESPASS,214620
WEAPONS VIOLATION,106978
PROSTITUTION,69841
OFFENSE INVOLVING CHILDREN,55873
PUBLIC PEACE VIOLATION,52386
SEX OFFENSE,30791
CRIM SEXUAL ASSAULT,27625
INTERFERENCE WITH PUBLIC OFFICER,18434
LIQUOR LAW VIOLATION,14916
GAMBLING,14618
ARSON,13288
HOMICIDE,12600
KIDNAPPING,7227
CRIMINAL SEXUAL ASSAULT,6801
STALKING,4827
INTIMIDATION,4697
CONCEALED CARRY LICENSE VIOLATION,1085
OBSCENITY,824
PUBLIC INDECENCY,195
NON-CRIMINAL,182
OTHER NARCOTIC VIOLATION,149
HUMAN TRAFFICKING,101
NON - CRIMINAL,38
RITUALISM,24
NON-CRIMINAL (SUBJECT SPECIFIED),9
DOMESTIC VIOLENCE,1
