gender,product_id,total_transactions
male,335,63
male,173,99
male,527,29
male,904,60
male,328,44
male,99,79
male,69,55
female,44,91
female,354,71
female,114,54
female,648,101
female,202,79
male,868,53
male,3,62
male,50,51
male,568,30
male,271,55
male,85,51
male,66,37
male,156,41
male,143,46
male,580,29
male,976,78
male,556,51
male,89,62
male,832,41
male,774,49
male,815,62
male,180,44
male,730,59
male,855,46
female,512,67
female,539,55
female,794,56
female,831,61
female,171,27
female,817,46
female,463,42
female,340,55
female,514,54
male,425,57
male,236,68
male,138,64
male,685,46
male,121,62
male,764,61
male,111,27
male,754,40
male,842,73
male,295,85
male,708,54
male,461,37
male,879,48
male,789,46
male,661,47
male,208,33
male,467,64
male,151,40
male,872,93
male,308,44
male,476,64
male,125,42
male,122,75
male,934,65
female,35,36
female,733,52
female,70,72
female,882,42
female,581,57
female,937,70
female,979,33
female,301,49
female,270,68
female,964,67
female,93,57
female,762,46
female,251,65
female,560,37
female,787,67
female,569,44
female,233,62
female,876,68
female,141,61
female,904,61
female,663,33
female,701,30
male,390,83
male,108,37
male,915,46
male,616,70
male,457,33
male,691,61
male,370,67
male,528,37
male,52,81
male,48,76
male,440,50
male,487,45
male,136,34
male,805,75
male,95,25
male,123,31
male,132,100
male,724,40
male,480,65
male,604,40
male,119,95
male,698,61
male,250,75
male,100,78
male,465,51
male,923,62
male,991,36
male,921,82
male,471,7
female,847,75
female,829,34
female,704,52
female,224,56
female,217,80
female,280,52
female,414,69
female,42,57
female,700,50
female,26,39
female,844,56
female,520,72
female,213,76
female,262,41
female,621,52
female,809,86
female,509,55
female,994,61
male,294,50
male,306,89
male,509,61
male,12,76
male,628,87
male,858,36
male,968,65
male,187,34
male,756,47
male,361,43
male,429,65
male,627,75
male,892,70
male,227,44
male,938,62
male,956,61
male,241,39
male,684,65
female,137,61
female,673,60
female,43,45
female,133,31
female,206,55
female,161,56
female,412,104
female,684,49
female,479,48
female,853,84
female,234,50
male,564,45
male,437,33
male,652,50
male,640,46
male,224,50
male,58,61
male,926,76
male,382,62
male,420,59
male,779,56
male,737,57
male,256,33
male,495,74
female,877,64
female,291,47
female,635,70
female,679,53
female,502,75
female,827,67
female,998,26
female,681,56
female,116,48
female,981,45
male,158,89
male,894,37
male,303,89
male,455,81
male,369,65
male,179,48
male,260,44
male,841,30
male,288,59
male,865,59
male,553,41
male,644,26
male,274,37
male,36,18
male,441,54
male,28,65
male,377,57
male,191,43
male,514,46
male,263,13
male,666,50
male,37,54
male,891,22
male,582,49
male,804,53
male,407,42
male,207,62
male,823,55
male,699,39
male,339,73
male,277,66
male,270,59
female,349,54
female,546,56
female,352,91
female,773,54
female,365,56
female,748,68
female,37,49
female,826,49
female,639,50
female,290,76
female,954,58
female,612,36
female,821,47
male,608,42
male,617,40
male,651,36
male,59,52
male,761,38
male,389,64
male,157,54
male,739,69
male,32,73
male,164,64
male,436,44
male,848,27
male,470,47
male,540,62
male,742,58
male,483,66
male,253,86
female,658,52
female,705,50
female,62,29
female,99,71
female,27,65
female,868,45
female,668,84
female,386,31
female,120,37
female,126,41
female,129,70
male,41,41
male,6,72
male,849,84
male,914,52
