product_id,product_name,category,price
137,Product 137,Electronics,58.43
748,Product 748,Fashion,33.98
928,Product 928,Toys & Games,27.65
3,Product 3,Fashion,96.58
959,Product 959,Toys & Games,78.73
848,Product 848,Toys & Games,66.15
194,Product 194,Home,45.18
656,Product 656,Books,18.55
546,Product 546,Toys & Games,42.63
296,Product 296,Home,30.7
106,Product 106,Health & Beauty,51.44
313,Product 313,Electronics,89.05
456,Product 456,Health & Beauty,54.5
979,Product 979,Books,87.97
618,Product 618,Home,89.25
690,Product 690,Electronics,38.89
727,Product 727,Health & Beauty,31.9
159,Product 159,Electronics,57.22
634,Product 634,Toys & Games,97.84
450,Product 450,Books,26.9
517,Product 517,Health & Beauty,86.91
89,Product 89,Home,61.73
816,Product 816,Home,93.97
395,Product 395,Health & Beauty,76.13
978,Product 978,Electronics,96.49
193,Product 193,Electronics,34.83
442,Product 442,Home,27.56
615,Product 615,Health & Beauty,96.71
80,Product 80,Home,69.49
76,Product 76,Electronics,68.31
446,Product 446,Health & Beauty,99.05
854,Product 854,Toys & Games,81.52
980,Product 980,Health & Beauty,70.58
115,Product 115,Electronics,54.42
890,Product 890,Books,63.93
466,Product 466,Home,82.03
1,Product 1,Electronics,67.24
588,Product 588,Home,38.95
768,Product 768,Fashion,18.81
126,Product 126,Home,60.82
783,Product 783,Home,96.48
881,Product 881,Fashion,37.19
344,Product 344,Electronics,10.99
909,Product 909,Fashion,61.82
1,Product 1,Home,36.79
637,Product 637,Health & Beauty,40.92
984,Product 984,Electronics,20.8
389,Product 389,Books,17.58
777,Product 777,Books,73.39
716,Product 716,Books,86.36
963,Product 963,Health & Beauty,66.59
767,Product 767,Electronics,79.49
341,Product 341,Health & Beauty,77.55
652,Product 652,Electronics,45.1
157,Product 157,Electronics,91.06
458,Product 458,Fashion,78.94
86,Product 86,Health & Beauty,85.32
668,Product 668,Health & Beauty,29.6
458,Product 458,Health & Beauty,11.0
765,Product 765,Books,10.51
482,Product 482,Books,51.74
562,Product 562,Books,97.94
861,Product 861,Books,98.78
896,Product 896,Health & Beauty,23.86
409,Product 409,Health & Beauty,52.07
579,Product 579,Home,74.22
402,Product 402,Toys & Games,46.12
411,Product 411,Electronics,81.65
84,Product 84,Fashion,7.8
644,Product 644,Health & Beauty,94.74
316,Product 316,Health & Beauty,61.83
659,Product 659,Home,93.41
