review_id,product_id,rating,review_date
1933,183,2,2021-11-14
937,593,2,2022-05-12
1721,671,4,2021-08-05
7981,109,5,2021-10-26
4383,894,1,2021-02-08
6972,475,3,2021-03-10
7032,916,4,2022-04-18
1707,389,2,2021-03-27
5488,41,2,2022-11-12
6107,518,4,2021-06-10
201,965,2,2022-06-15
3241,596,3,2021-03-27
1631,325,1,2020-01-06
3323,202,1,2020-01-06
7210,649,5,2021-07-21
2051,108,1,2020-07-12
7785,334,5,2021-08-06
5389,627,2,2021-07-04
499,540,4,2022-07-14
7322,641,1,2022-02-13
465,558,3,2022-01-15
1835,891,5,2022-12-28
1056,902,2,2021-07-22
2690,840,1,2022-05-12
4527,738,3,2020-08-30
5337,41,4,2020-09-02
64,759,2,2020-01-29
6096,298,4,2021-09-05
3488,47,4,2022-07-06
9292,875,2,2021-01-15
3312,832,2,2020-06-13
6585,439,4,2020-08-05
9257,66,3,2020-11-07
1951,463,5,2021-04-14
4122,589,2,2021-03-03
5851,925,3,2021-12-23
9142,721,5,2022-07-16
4865,690,2,2021-02-05
1186,988,5,2020-12-17
7478,880,4,2021-04-14
8712,171,5,2020-04-05
4666,911,3,2022-03-17
8262,430,1,2020-08-12
8452,88,4,2020-12-21
1302,921,2,2022-07-19
9305,272,1,2021-07-01
4790,107,1,2021-06-03
5712,505,2,2022-10-21
2102,299,4,2022-06-02
8737,720,1,2020-11-07
857,912,5,2022-01-20
5923,928,5,2020-06-30
1330,514,1,2022-09-10
1426,419,1,2022-02-12
7766,175,4,2021-01-27
7614,943,3,2020-11-10
7204,373,2,2021-09-04
8548,93,4,2021-09-27
9522,613,1,2020-03-07
151,914,4,2021-11-06
1594,828,1,2020-04-04
4818,315,4,2021-08-13
8589,616,2,2020-04-19
3558,348,2,2021-12-21
2257,779,5,2020-11-17
139,592,5,2022-09-26
3313,781,3,2022-11-08
4521,493,5,2021-05-23
850,257,3,2020-02-03
1119,575,3,2020-08-09
64,669,1,2021-11-18
9268,581,4,2022-02-22
67,383,4,2021-12-14
3511,154,2,2022-11-19
362,115,5,2021-10-15
4935,670,2,2022-02-25
301,545,4,2020-02-25
4251,294,1,2020-07-21
1877,737,4,2020-08-20
1405,970,1,2020-12-09
5201,514,5,2022-02-01
8598,286,1,2020-04-24
54,178,5,2020-03-12
6367,50,5,2020-04-16
4449,424,4,2022-04-15
3969,802,3,2020-02-14
3466,128,3,2020-01-04
774,926,5,2022-04-26
4126,657,4,2021-05-19
3337,575,2,2022-10-27
3401,527,3,2020-04-11
6073,420,1,2021-07-16
3445,315,5,2020-03-11
9581,359,3,2020-12-02
5259,735,5,2021-12-31
7997,847,5,2022-05-01
9891,174,2,2020-04-19
9302,543,5,2022-06-18
9059,28,4,2020-11-06
6856,90,4,2021-04-25
6623,128,5,2021-04-23
9132,894,1,2020-02-15
2394,433,3,2020-12-11
448,573,3,2022-01-23
6842,31,4,2022-09-17
7522,867,2,2020-10-04
9514,917,5,2021-01-04
5098,419,3,2021-06-18
583,90,4,2022-08-30
9840,267,4,2020-03-24
6805,890,1,2020-04-05
2348,567,4,2022-10-04
5934,648,2,2021-12-03
247,875,2,2021-05-07
1427,421,2,2022-04-14
3875,701,2,2021-08-08
5414,965,4,2020-03-13
7054,846,4,2020-03-08
4535,330,3,2022-03-12
4743,882,2,2020-01-25
9705,169,5,2020-10-14
9673,644,1,2022-05-05
776,468,3,2020-04-21
1749,835,2,2021-01-09
3725,759,4,2022-01-28
8054,159,3,2022-11-21
4612,901,4,2022-05-10
5236,624,1,2022-05-09
2882,598,3,2022-02-17
5373,602,2,2021-01-06
6253,808,4,2020-04-01
5965,328,3,2020-12-08
7378,173,4,2021-11-18
6851,22,1,2020-01-17
4849,737,1,2020-07-13
6628,383,4,2020-03-08
8342,927,4,2020-09-18
8229,155,4,2021-12-04
6310,756,5,2021-01-02
4606,2,2,2022-01-04
5095,485,5,2020-05-28
6388,879,5,2022-11-01
9959,89,3,2021-05-11
9162,421,5,2022-11-20
4828,671,5,2022-04-07
8148,758,4,2021-10-29
9501,860,2,2022-10-03
4369,494,5,2022-06-08
9164,538,3,2021-11-20
6925,627,2,2022-06-04
6732,707,1,2021-01-07
9789,230,2,2021-01-19
4546,346,2,2020-04-14
7839,21,3,2021-02-19
6780,371,5,2021-08-06
7991,608,5,2022-01-21
7993,543,4,2021-09-01
5089,142,2,2022-10-24
6682,761,5,2020-10-07
5518,883,4,2021-03-24
1595,555,5,2021-03-30
4615,339,2,2022-07-26
3935,444,3,2021-02-10
9450,554,3,2020-01-09
7219,942,5,2020-11-25
8108,876,3,2020-12-15
8418,842,5,2020-12-24
4283,845,1,2021-12-26
168,252,2,2020-01-11
125,208,4,2020-05-18
7495,356,4,2021-09-08
3612,716,4,2021-05-15
775,377,1,2020-04-15
7373,136,1,2022-02-10
6018,360,4,2020-01-16
7413,788,4,2021-07-22
5542,37,2,2021-12-01
4560,646,5,2022-10-21
8766,384,2,2022-02-08
5810,722,1,2020-03-18
7968,550,2,2021-03-02
8705,209,3,2022-05-26
5628,175,4,2022-11-17
2855,646,1,2021-02-25
2964,301,4,2020-11-10
5658,317,2,2020-09-25
2,755,5,2022-07-22
4534,931,3,2022-05-18
1097,372,1,2021-01-28
2811,366,1,2021-01-26
7641,308,1,2022-03-07
4185,617,2,2020-05-17
2517,695,3,2020-06-12
9603,540,2,2021-09-25
915,960,1,2021-08-08
6737,842,5,2022-04-01
3728,722,2,2020-04-08
5202,105,5,2021-06-24
9092,591,4,2022-09-25
8810,60,5,2022-08-19
2574,11,3,2021-02-16
2181,202,5,2021-02-15
5029,30,2,2021-10-29
5820,377,3,2021-11-23
5419,233,3,2021-11-27
4877,400,3,2021-09-26
8353,194,4,2021-09-27
8076,679,1,2021-10-11
6559,280,4,2021-01-29
1746,308,5,2020-06-08
4951,510,3,2020-08-19
1206,853,4,2022-04-18
1445,4,1,2022-04-04
4084,833,1,2022-05-13
155,398,4,2022-08-10
5573,99,2,2022-06-20
4439,386,5,2021-10-12
2122,370,3,2022-12-30
3059,996,3,2020-01-29
627,993,3,2021-05-08
2842,869,5,2020-10-11
5601,153,2,2021-09-13
6158,201,1,2022-12-10
116,296,4,2022-03-27
5576,814,5,2021-04-11
9394,276,4,2020-02-24
1842,355,1,2022-12-19
3185,692,4,2021-05-17
1344,618,5,2022-11-21
143,718,3,2020-01-20
2620,265,4,2020-02-16
8116,380,2,2020-01-21
2187,595,5,2021-01-20
661,132,3,2021-07-23
256,903,3,2020-11-09
7385,896,3,2020-04-25
9260,638,2,2020-11-17
2257,708,4,2020-03-06
3478,376,1,2020-12-01
429,815,2,2022-10-01
3221,93,3,2022-07-13
4347,904,5,2022-06-30
2460,21,5,2020-10-15
7111,514,5,2021-06-22
9226,152,3,2022-05-04
9789,301,5,2022-04-23
2865,625,2,2021-03-09
2679,547,4,2021-10-12
8262,149,1,2020-06-09
592,484,4,2022-12-13
9517,1,5,2022-02-05
8921,829,3,2022-12-05
895,237,3,2020-08-23
9077,139,4,2021-10-23
2126,847,4,2022-07-23
2777,207,2,2020-01-12
6549,460,3,2021-07-11
7795,153,5,2020-09-30
8651,887,3,2022-06-29
2548,343,4,2022-01-13
1852,719,3,2021-06-01
8038,522,2,2020-01-12
9660,568,3,2020-01-02
3000,329,5,2021-02-17
6830,374,4,2020-11-23
2651,223,2,2022-03-28
3046,881,5,2022-06-11
7588,769,1,2022-04-29
4390,457,3,2020-10-01
4824,27,2,2021-09-01
8382,659,1,2022-07-31
6761,170,2,2022-01-07
3208,400,4,2022-05-25
1241,980,3,2022-02-01
6805,447,4,2020-11-11
563,863,5,2020-12-12
4208,386,4,2021-07-24
9656,535,5,2022-01-20
1255,175,5,2022-07-05
9239,698,5,2021-07-17
196,272,5,2022-04-28
1017,49,5,2021-10-31
2569,787,5,2022-03-20
3101,242,5,2021-04-03
7833,427,3,2021-11-08
4749,214,3,2021-01-25
2136,535,4,2021-03-16
6222,490,4,2022-01-31
8985,195,3,2022-07-26
2768,169,1,2020-05-25
4277,303,5,2022-12-23
5297,375,2,2020-03-13
1681,176,5,2020-01-08
8713,701,3,2021-02-20
6400,156,5,2021-08-28
285,26,2,2022-03-24
8723,433,5,2022-10-06
7511,869,3,2022-09-25
7942,845,3,2021-09-03
