sale_id,product_id,quantity_sold,sale_date
6285,692,7,2021-08-21
1361,121,1,2021-10-15
1182,610,8,2020-03-03
8324,170,3,2021-02-06
2483,714,1,2022-03-05
6208,950,1,2022-01-24
2773,205,6,2021-09-21
4629,739,3,2021-04-16
3931,576,9,2022-01-10
4132,703,5,2021-07-10
6351,49,2,2022-06-25
4183,422,4,2020-12-05
4069,728,10,2022-02-23
504,139,8,2020-08-04
3904,566,2,2021-03-13
2863,446,7,2020-08-05
3931,740,2,2020-05-27
2751,503,1,2022-08-18
5529,680,4,2021-01-24
1000,574,10,2022-04-07
5651,568,3,2022-07-24
1921,791,6,2020-08-16
3305,629,5,2021-04-26
8739,213,9,2020-06-02
3871,943,1,2020-04-24
7857,155,5,2022-11-28
1711,593,2,2021-05-27
47,784,7,2022-01-03
2235,726,1,2022-05-19
9237,144,6,2020-06-05
9006,467,1,2021-07-03
3640,551,2,2021-11-05
3444,540,4,2021-05-06
8707,81,8,2022-08-06
3925,967,10,2022-09-21
3739,952,1,2020-11-13
8352,215,6,2022-05-08
6957,699,4,2022-01-11
537,280,2,2021-11-18
8275,457,1,2022-03-20
1075,123,1,2021-02-08
6834,194,9,2020-04-06
9402,760,9,2022-05-02
8352,973,10,2020-01-22
1831,394,6,2020-05-24
3600,250,2,2021-09-11
3063,293,3,2022-11-03
1022,509,4,2022-08-29
4868,336,6,2020-01-02
4651,588,5,2022-08-08
7339,933,6,2022-02-05
2798,108,5,2021-06-01
9418,394,10,2021-01-13
8612,812,5,2021-05-20
9071,87,4,2022-12-29
9460,836,9,2020-04-07
7697,490,1,2020-10-23
7303,317,2,2022-05-31
7080,650,2,2020-12-10
5171,465,1,2021-01-05
1365,739,5,2020-08-09
2762,711,8,2022-04-23
1410,804,3,2021-11-26
4077,311,1,2020-05-21
3446,108,8,2020-05-04
7744,297,8,2021-05-12
7792,282,7,2022-02-28
7354,208,8,2022-01-30
1546,504,4,2020-06-18
5233,601,5,2021-04-13
6371,755,2,2022-05-06
7497,824,6,2021-03-28
6338,324,6,2020-07-12
1523,75,9,2022-04-30
7948,724,9,2021-05-31
742,364,5,2022-04-19
8850,460,1,2020-11-11
8517,355,6,2022-07-26
2326,748,3,2022-04-30
4750,431,5,2022-07-01
2574,182,8,2021-03-22
2957,708,9,2021-11-22
3947,825,5,2020-05-22
5961,216,9,2022-07-15
7304,302,2,2021-08-20
7138,99,10,2021-05-07
3248,768,9,2022-06-13
8857,968,5,2021-01-11
8204,188,2,2021-03-27
2302,758,3,2020-10-12
4527,736,4,2020-10-21
3326,115,2,2020-10-17
2867,652,2,2020-02-21
6860,423,10,2022-08-09
3197,453,3,2022-10-17
8274,194,5,2021-02-07
8314,366,8,2022-01-10
250,396,2,2020-04-17
6920,371,7,2020-05-19
4031,152,5,2022-11-20
6611,884,2,2020-07-21
6836,725,7,2020-08-20
1775,334,9,2020-03-01
4006,396,7,2020-05-04
6063,173,9,2022-12-22
6669,586,2,2022-04-19
2819,679,2,2022-11-27
7770,699,3,2021-08-30
6859,11,4,2022-03-25
8512,753,7,2021-03-04
266,996,1,2022-03-21
4579,840,1,2020-12-31
9342,537,3,2020-11-30
8440,815,3,2022-11-21
7814,439,3,2022-07-05
9886,490,1,2021-10-13
4235,236,6,2022-06-19
6903,308,3,2021-03-03
9310,134,9,2021-11-30
7832,36,6,2022-02-04
664,891,1,2022-10-22
5155,606,1,2022-09-23
9567,343,10,2022-12-23
2464,833,5,2021-07-09
4256,676,9,2020-05-07
2176,427,2,2021-05-18
3892,583,8,2022-08-09
2114,150,5,2020-06-28
234,105,6,2022-01-25
8830,335,8,2022-06-30
7704,180,5,2022-09-05
8477,972,4,2021-06-04
5997,690,6,2020-10-22
1058,120,1,2021-01-12
1505,980,10,2020-01-26
1341,430,1,2021-02-25
4883,973,2,2020-06-30
6156,154,7,2020-12-08
9203,955,3,2021-07-31
9501,117,9,2020-09-21
1376,707,6,2021-05-31
9618,526,6,2021-10-23
3555,445,6,2020-04-06
1937,162,10,2020-06-05
1527,301,3,2020-08-15
3152,776,2,2022-12-19
2115,21,1,2020-12-05
2256,240,1,2020-03-11
939,849,2,2022-06-10
8895,484,8,2022-09-12
8461,547,5,2022-04-09
7086,804,3,2022-07-24
1784,594,2,2022-11-23
9470,903,5,2020-04-24
1118,647,10,2020-02-11
9034,943,5,2020-07-12
7540,129,10,2022-09-13
7607,803,6,2020-10-19
9018,923,3,2022-07-30
7704,7,2,2022-06-13
1776,80,8,2020-07-04
5501,523,7,2021-08-30
6090,957,1,2020-05-22
2055,813,3,2021-07-28
7215,404,3,2020-06-29
4585,79,1,2020-02-26
3620,488,4,2022-07-29
2903,580,7,2020-02-03
9117,810,4,2020-10-29
7499,716,7,2020-10-14
2097,801,9,2020-07-11
3945,940,10,2022-01-14
6754,966,8,2020-11-23
5924,118,4,2020-04-04
4189,938,9,2022-11-21
8003,838,6,2020-02-05
7973,499,4,2022-04-25
242,377,10,2021-10-23
2950,641,3,2022-08-22
7760,573,1,2020-06-06
2264,795,2,2021-02-07
7862,632,4,2020-04-18
8995,54,3,2020-12-09
2376,925,9,2020-04-21
9305,856,8,2022-10-01
3453,206,1,2021-04-12
9354,489,1,2021-06-28
6110,436,9,2021-11-08
4313,886,7,2020-10-07
6213,763,2,2020-04-04
6794,944,1,2022-02-21
6533,357,3,2021-12-26
9260,410,9,2020-03-02
2337,632,4,2022-07-15
236,885,1,2020-06-05
2050,549,7,2022-12-22
7814,797,5,2021-08-30
939,60,9,2020-11-05
8068,831,9,2021-02-08
211,895,3,2021-07-10
8015,824,6,2021-12-31
4266,611,2,2022-06-04
2569,108,6,2020-09-20
8678,251,2,2022-12-19
9471,302,10,2022-11-10
6241,399,3,2020-11-11
8418,63,3,2020-03-31
8296,27,2,2022-11-16
504,177,5,2020-09-02
147,717,6,2020-09-08
7298,968,2,2021-06-15
2861,166,5,2022-04-02
3207,830,2,2021-01-24
6527,993,1,2020-07-01
3265,953,6,2022-07-16
9195,153,9,2021-11-18
4821,304,10,2022-10-30
7750,308,3,2020-09-28
3859,116,9,2020-01-21
949,440,5,2022-01-02
6153,513,5,2022-11-24
6655,83,4,2021-09-28
3665,962,9,2022-06-03
6295,386,7,2022-03-01
3331,163,5,2021-04-28
5541,408,7,2022-10-05
4774,152,10,2021-07-08
4577,206,7,2021-08-26
9258,541,3,2022-10-18
4377,240,7,2021-01-24
1736,655,2,2020-08-26
2118,331,7,2022-05-20
783,559,7,2022-12-09
9969,667,1,2020-01-20
1519,675,8,2021-12-12
8544,293,4,2020-05-02
7758,44,3,2021-06-05
7879,273,5,2020-03-11
5899,285,3,2022-04-25
4012,194,7,2021-03-12
1976,997,3,2020-07-28
434,759,4,2021-01-08
2141,866,1,2022-01-18
5579,692,3,2021-07-01
7080,537,5,2022-08-05
1333,917,3,2021-03-23
3333,960,7,2022-11-12
7990,144,8,2021-07-11
6143,240,8,2022-07-05
8523,913,10,2022-09-11
2506,666,4,2022-08-22
852,409,3,2020-07-24
9672,433,5,2021-04-27
3931,588,6,2021-08-25
400,950,8,2021-10-05
3878,516,8,2022-10-08
3885,48,1,2020-05-05
1325,689,9,2020-01-03
236,891,3,2022-07-12
3667,831,8,2020-10-25
2236,224,6,2022-12-21
6717,251,9,2021-06-03
994,84,3,2020-09-05
8459,290,8,2021-01-06
7897,827,2,2020-12-12
1876,746,5,2022-09-17
1648,900,6,2021-11-27
8381,751,7,2021-08-11
5809,211,2,2022-11-12
4190,848,2,2022-06-01
6159,243,1,2021-10-05
4870,369,9,2020-02-19
256,430,5,2021-09-16
1244,317,3,2022-12-26
7503,508,1,2022-05-31
5662,264,10,2021-10-11
9874,591,5,2022-10-25
9401,844,3,2020-03-13
9131,792,5,2020-09-14
958,26,6,2021-11-22
3080,343,9,2020-04-09
3446,304,5,2021-02-06
5132,172,1,2022-12-25
5162,277,6,2020-09-01
6414,401,2,2021-11-24
8271,378,2,2022-03-30
9393,133,5,2022-01-26
423,887,2,2022-05-22
6949,59,2,2022-07-27
9352,918,7,2020-01-01
4955,971,7,2020-03-01
6647,493,7,2022-02-07
4467,11,4,2021-05-21
9840,724,2,2021-04-29
3005,123,7,2021-12-26
776,768,1,2020-03-18
4099,273,5,2021-10-06
3059,456,8,2020-10-19
9387,479,5,2022-05-02
1490,509,8,2022-09-10
9719,716,10,2020-05-09
5990,849,3,2020-07-21
7766,879,4,2020-01-23
6986,960,1,2021-09-16
8975,816,5,2022-11-20
7212,523,7,2021-10-10
4106,475,4,2021-05-06
1723,503,9,2020-01-06
7641,609,1,2020-11-27
6621,16,10,2020-01-23
781,985,2,2020-01-04
9118,341,10,2022-11-15
6180,744,10,2022-03-31
400,349,2,2022-08-08
4013,759,4,2020-05-31
6278,252,3,2020-10-22
5100,889,9,2020-07-03
1880,839,6,2022-08-03
2306,654,10,2022-10-05
1886,108,5,2020-11-04
5300,692,7,2021-04-14
3110,497,7,2021-03-10
3499,688,1,2022-12-05
9301,453,4,2020-10-10
1183,678,8,2020-06-04
3991,225,2,2022-01-08
8437,673,4,2021-09-08
9730,346,5,2022-09-02
8964,1,9,2020-05-06
3252,128,9,2020-02-03
3179,928,1,2021-03-02
4124,822,2,2021-12-04
7774,621,7,2020-06-28
8677,687,7,2021-02-02
3878,933,5,2020-07-26
9793,116,3,2022-10-12
5424,258,1,2022-03-20
9997,632,6,2022-10-07
6431,822,6,2022-09-28
1155,683,5,2021-06-23
1047,200,4,2020-06-27
3971,767,3,2020-08-27
1177,635,4,2021-03-08
1160,763,3,2020-01-29
1425,767,3,2020-03-06
3336,333,7,2020-03-04
2791,534,1,2020-11-15
8483,727,1,2022-11-23
82,194,2,2021-02-07
2196,787,8,2022-05-17
2118,214,5,2021-05-03
2214,314,9,2021-07-23
5715,358,7,2022-05-31
4017,73,2,2020-03-06
2830,875,4,2022-12-25
2346,659,9,2022-08-01
2849,844,1,2022-10-15
5233,114,1,2022-02-07
4290,731,8,2022-09-27
8558,847,10,2021-12-13
6492,348,2,2022-09-21
7004,387,9,2021-11-07
5630,699,4,2021-08-01
1447,461,3,2022-04-15
